page,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET ONIX,79990.0,3902.0,2024, 1.0 FLEX MANUAL (Manual) , Pedragon Av Norte ,1.0,Manual,Flex,Branco
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET ONIX,86000.0,3530.0,2024, 1.0 TURBO FLEX LT MANUAL (Manual) , Pedragon Afogados ,1.0,Manual,Flex,Cinza
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET ONIX,90000.0,1491.0,2024, 1.0 TURBO FLEX LT MANUAL (Manual) , Pedragon Afogados ,1.0,Manual,Flex,Preto
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET ONIX,93990.0,7738.0,2024, 1.0 TURBO FLEX LT MANUAL (Manual) , Pedragon Beberibe ,1.0,Manual,Flex,Prata
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET ONIX PLUS,96990.0,2312.0,2024, 1.0 TURBO FLEX LT MANUAL (Manual) , Pedragon Rui Barbosa ,1.0,Manual,Flex,Cinza
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET SPIN,118990.0,3902.0,2024, 1.8 LT 8V FLEX 4P AUTOMÁTICO (Automatico) , Pedragon Beberibe ,1.8,Automatico,Flex,Azul
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET TRACKER,122990.0,16902.0,2024, 1.0 TURBO FLEX MIDNIGHT AUTOMÁTICO (Automatico) , Pedragon Beberibe ,1.0,Automatico,Flex,Preto
https://www.pedragonchevroletrecife.com.br/seminovos?condicao=seminovo,CHEVROLET TRACKER,131000.0,12902.0,2024, 1.0 TURBO FLEX LT AUTOMÁTICO (Automatico) , Pedragon Rui Barbosa ,1.0,Automatico,Flex,Cinza
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,FIAT 500e,125990.0,7521.0,2022,ICON ELÉTRICO,,,Automatico,ELÉTRICO,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,AUDI Q3,128980.0,40000.0,2018,TFSI AMBIENTE FLEX 4P S TRONIC,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,CHEVROLET ONIX,70990.0,40686.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,CHEVROLET ONIX,79990.0,57643.0,2022,TURBO FLEX PLUS LTZ AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,VOLKSWAGEN SAVEIRO,83990.0,29000.0,2023,MSI TRENDLINE CS 8V FLEX 2P MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,JEEP COMPASS,117990.0,63379.0,2022,T270 TURBO FLEX SPORT AT6,,1.3,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,CHEVROLET TRAILBLAZER,229980.0,32000.0,2021,PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,CHEVROLET EQUINOX,158990.0,40848.0,2021,16V TURBO GASOLINA PREMIER AWD AUTOMÁTICO,,1.5,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,CHEVROLET ONIX,65990.0,77054.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,68990.0,55499.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,69990.0,53123.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET TRACKER,112990.0,10950.0,2023,TURBO FLEX LT AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,65990.0,84202.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,79990.0,38335.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,72990.0,23164.0,2023,FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CITROËN C4 CACTUS,74490.0,45221.0,2022,VTI 120 FLEX C-SERIES EAT6,,1.6,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,69990.0,30652.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=4,CHEVROLET ONIX,68990.0,46617.0,2022,FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,68800.0,101856.0,2020,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,82990.0,28315.0,2022,TURBO FLEX PLUS AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,67990.0,37613.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,83990.0,20994.0,2022,TURBO FLEX PLUS LT AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,VOLKSWAGEN T-CROSS,105990.0,68000.0,2020,250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,NISSAN KICKS,73990.0,69806.0,2019,16V FLEXSTART S 4P MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET MONTANA,136980.0,3535.0,2023,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET MONTANA,136980.0,5077.0,2023,TURBO FLEX PREMIER AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=8,CHEVROLET ONIX,78990.0,27194.0,2021,TURBO FLEX PLUS LT AUTOMÁTICO,,1.0,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET TRACKER,101990.0,45476.0,2021,TURBO FLEX LTZ AUTOMÁTICO,,1.2,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,71990.0,31423.0,2023,FLEX MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,68990.0,43098.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,27021.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET CRUZE,112990.0,35435.0,2022,TURBO LTZ 16V FLEX 4P AUTOMÁTICO,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,FIAT TORO,124990.0,58669.0,2021,16V TURBO DIESEL VOLCANO 4WD AT9,,2.0,Automatico,Diesel,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,58114.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,69990.0,63524.0,2023,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=5,CHEVROLET ONIX,68990.0,45229.0,2022,FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,FIAT STRADA,70990.0,62167.0,2021,FIRE FLEX ENDURANCE CS MANUAL,,1.4,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=6,CHEVROLET ONIX,79990.0,62774.0,2021,TURBO FLEX PLUS PREMIER AUTOMÁTICO,,1.0,Automatico,Flex,
