page,car_brand,car_name,car_price,car_km,car_year,car_desc,car_store,car_engine,car_gearbox,car_fuel,car_color
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Fiat,500E,125990.0,7521.0,2022,ICON ELÉTRICO,,Elétrico,Automatico,Elétrico,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Audi,Q3,128980.0,40000.0,2018,1.4 TFSI AMBIENTE FLEX 4P S TRONIC,,1.4,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Chevrolet,Onix,70990.0,40686.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Chevrolet,Onix,79990.0,57643.0,2022,1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Volkswagen,Saveiro,77990.0,29000.0,2023,1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL,,1.6,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Jeep,Compass,117990.0,63379.0,2022,1.3 T270 TURBO FLEX SPORT AT6,,1.3 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Chevrolet,Trailblazer,229980.0,32000.0,2021,2.8 PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO,,2.8 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Chevrolet,Equinox,158990.0,40848.0,2021,1.5 16V TURBO GASOLINA PREMIER AWD AUTOMÁTICO,,1.5 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=1,Chevrolet,Onix,65990.0,77054.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,S10,239990.0,19253.0,2023,2.8 16V TURBO DIESEL HIGH COUNTRY CD 4X4 AUTOMÁTICO,,2.8 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,Onix,70990.0,49673.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,Onix,69990.0,24359.0,2022,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,Onix,83990.0,12451.0,2022,1.0 TURBO FLEX PLUS AUTOMÁTICO,,1.0 Turbo,Automatico,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,Onix,82990.0,7943.0,2023,1.0 FLEX PLUS LT MANUAL,,1.0,Manual,Flex,
https://grupoautonunes.com/estoque/?zero_km=0&txt_busca=&page=2,Chevrolet,Onix,69990.0,61149.0,2023,1.0 FLEX LT MANUAL,,1.0,Manual,Flex,
